schema,relationship,object,context,pair,spec_obj,violation,comic_name,ecog,scn_cat,scn_type,cong_code,congruency,corr_ans,cue_file,action1,action2,action3,target_file
throw,adults,ball,picnic_20,wm_48,volley_ball,unrelated,01-02_01_02_188,NaN,picnic,outdoor,8,inc,right,stim/01-02_01_02_188_Slide-01.png,stim/01-02_01_02_188_Slide-02.png,stim/01-02_01_02_188_Slide-03.png,stim/01-02_01_02_188_Slide-04.png,stim/01-02_01_02_188_Slide-08.png
throw,adults,ball,beach_17,ww_41,beach_ball,unrelated,01-02_01_02_161,NaN,beach,outdoor,6,con,left,stim/01-02_01_02_161_Slide-01.png,stim/01-02_01_02_161_Slide-02.png,stim/01-02_01_02_161_Slide-03.png,stim/01-02_01_02_161_Slide-04.png,stim/01-02_01_02_161_Slide-06.png
throw,adults,ball,beach_22,mw_42,beach_ball,context,01-02_01_02_166,1,beach,outdoor,5,neu,right,stim/01-02_01_02_166_Slide-01.png,stim/01-02_01_02_166_Slide-02.png,stim/01-02_01_02_166_Slide-03.png,stim/01-02_01_02_166_Slide-04.png,stim/01-02_01_02_166_Slide-05.png
throw,adults,ball,picnic_17,ww_47,red_ball,action,01-02_01_02_185,NaN,picnic,outdoor,8,inc,right,stim/01-02_01_02_185_Slide-01.png,stim/01-02_01_02_185_Slide-02.png,stim/01-02_01_02_185_Slide-03.png,stim/01-02_01_02_185_Slide-04.png,stim/01-02_01_02_185_Slide-08.png
throw,adults,ball,park_24,mm_44,beach_ball,action,01-02_01_02_176,NaN,park,outdoor,6,con,left,stim/01-02_01_02_176_Slide-01.png,stim/01-02_01_02_176_Slide-02.png,stim/01-02_01_02_176_Slide-03.png,stim/01-02_01_02_176_Slide-04.png,stim/01-02_01_02_176_Slide-06.png
throw,adults,ball,bedroom_24,mm_36,volley_ball,other_schema,01-02_01_01_144,NaN,bedroom,indoor,5,neu,right,stim/01-02_01_01_144_Slide-01.png,stim/01-02_01_01_144_Slide-02.png,stim/01-02_01_01_144_Slide-03.png,stim/01-02_01_01_144_Slide-04.png,stim/01-02_01_01_144_Slide-05.png
throw,parents,ball,park_4,wm_12,volley_ball,other_schema,01-01_01_02_44,NaN,park,outdoor,8,inc,right,stim/01-01_01_02_44_Slide-01.png,stim/01-01_01_02_44_Slide-02.png,stim/01-01_01_02_44_Slide-03.png,stim/01-01_01_02_44_Slide-04.png,stim/01-01_01_02_44_Slide-08.png
throw,parents,ball,living_4,wm_6,american_ball,context,01-01_01_01_20,NaN,living,indoor,6,con,left,stim/01-01_01_01_20_Slide-01.png,stim/01-01_01_01_20_Slide-02.png,stim/01-01_01_01_20_Slide-03.png,stim/01-01_01_01_20_Slide-04.png,stim/01-01_01_01_20_Slide-06.png
throw,parents,ball,picnic_6,mw_16,beach_ball,action,01-01_01_02_62,1,picnic,outdoor,5,neu,right,stim/01-01_01_02_62_Slide-01.png,stim/01-01_01_02_62_Slide-02.png,stim/01-01_01_02_62_Slide-03.png,stim/01-01_01_02_62_Slide-04.png,stim/01-01_01_02_62_Slide-05.png
throw,parents,ball,beach_6,mw_10,beach_ball,other_schema,01-01_01_02_38,1,beach,outdoor,8,inc,right,stim/01-01_01_02_38_Slide-01.png,stim/01-01_01_02_38_Slide-02.png,stim/01-01_01_02_38_Slide-03.png,stim/01-01_01_02_38_Slide-04.png,stim/01-01_01_02_38_Slide-08.png
throw,parents,ball,picnic_8,mm_16,red_ball,context,01-01_01_02_64,NaN,picnic,outdoor,6,con,left,stim/01-01_01_02_64_Slide-01.png,stim/01-01_01_02_64_Slide-02.png,stim/01-01_01_02_64_Slide-03.png,stim/01-01_01_02_64_Slide-04.png,stim/01-01_01_02_64_Slide-06.png
throw,parents,ball,camping_1,ww_13,volley_ball,other_schema,01-01_01_02_49,NaN,camping,outdoor,5,neu,right,stim/01-01_01_02_49_Slide-01.png,stim/01-01_01_02_49_Slide-02.png,stim/01-01_01_02_49_Slide-03.png,stim/01-01_01_02_49_Slide-04.png,stim/01-01_01_02_49_Slide-05.png
throw,parents,ball,bedroom_4,wm_4,volley_ball,other_schema,01-01_01_01_12,NaN,bedroom,indoor,8,inc,right,stim/01-01_01_01_12_Slide-01.png,stim/01-01_01_01_12_Slide-02.png,stim/01-01_01_01_12_Slide-03.png,stim/01-01_01_01_12_Slide-04.png,stim/01-01_01_01_12_Slide-08.png
throw,parents,ball,picnic_1,ww_15,beach_ball,action,01-01_01_02_57,NaN,picnic,outdoor,6,con,left,stim/01-01_01_02_57_Slide-01.png,stim/01-01_01_02_57_Slide-02.png,stim/01-01_01_02_57_Slide-03.png,stim/01-01_01_02_57_Slide-04.png,stim/01-01_01_02_57_Slide-06.png
throw,parents,ball,park_1,ww_11,red_ball,other_schema,01-01_01_02_41,NaN,park,outdoor,5,neu,right,stim/01-01_01_02_41_Slide-01.png,stim/01-01_01_02_41_Slide-02.png,stim/01-01_01_02_41_Slide-03.png,stim/01-01_01_02_41_Slide-04.png,stim/01-01_01_02_41_Slide-05.png
throw,adults,frisbee,picnic_26,ww_64,blue_frisbee,other_schema,01-02_02_02_250,NaN,picnic,outdoor,8,inc,right,stim/01-02_02_02_250_Slide-01.png,stim/01-02_02_02_250_Slide-02.png,stim/01-02_02_02_250_Slide-03.png,stim/01-02_02_02_250_Slide-04.png,stim/01-02_02_02_250_Slide-08.png
throw,adults,frisbee,park_26,ww_60,red_frisbee,action,01-02_02_02_234,NaN,park,outdoor,6,con,left,stim/01-02_02_02_234_Slide-01.png,stim/01-02_02_02_234_Slide-02.png,stim/01-02_02_02_234_Slide-03.png,stim/01-02_02_02_234_Slide-04.png,stim/01-02_02_02_234_Slide-06.png
throw,adults,frisbee,office_31,mm_55,blue_frisbee,action,01-02_02_01_223,NaN,office,indoor,5,neu,right,stim/01-02_02_01_223_Slide-01.png,stim/01-02_02_01_223_Slide-02.png,stim/01-02_02_01_223_Slide-03.png,stim/01-02_02_01_223_Slide-04.png,stim/01-02_02_01_223_Slide-05.png
throw,adults,frisbee,picnic_31,mm_63,yellow_frisbee,other_schema,01-02_02_02_255,NaN,picnic,outdoor,8,inc,right,stim/01-02_02_02_255_Slide-01.png,stim/01-02_02_02_255_Slide-02.png,stim/01-02_02_02_255_Slide-03.png,stim/01-02_02_02_255_Slide-04.png,stim/01-02_02_02_255_Slide-08.png
throw,adults,frisbee,beach_28,wm_58,red_frisbee,action,01-02_02_02_228,NaN,beach,outdoor,6,con,left,stim/01-02_02_02_228_Slide-01.png,stim/01-02_02_02_228_Slide-02.png,stim/01-02_02_02_228_Slide-03.png,stim/01-02_02_02_228_Slide-04.png,stim/01-02_02_02_228_Slide-06.png
throw,adults,frisbee,kitchen_28,wm_50,brown_frisbee,other_schema,01-02_02_01_196,NaN,kitchen,indoor,5,neu,right,stim/01-02_02_01_196_Slide-01.png,stim/01-02_02_01_196_Slide-02.png,stim/01-02_02_01_196_Slide-03.png,stim/01-02_02_01_196_Slide-04.png,stim/01-02_02_01_196_Slide-05.png
throw,parents,frisbee,office_15,mm_23,blue_frisbee,other_schema,01-01_02_01_95,NaN,office,indoor,8,inc,right,stim/01-01_02_01_95_Slide-01.png,stim/01-01_02_01_95_Slide-02.png,stim/01-01_02_01_95_Slide-03.png,stim/01-01_02_01_95_Slide-04.png,stim/01-01_02_01_95_Slide-08.png
throw,parents,frisbee,park_15,mm_27,yellow_frisbee,unrelated,01-01_02_02_111,NaN,park,outdoor,6,con,left,stim/01-01_02_02_111_Slide-01.png,stim/01-01_02_02_111_Slide-02.png,stim/01-01_02_02_111_Slide-03.png,stim/01-01_02_02_111_Slide-04.png,stim/01-01_02_02_111_Slide-06.png
throw,parents,frisbee,camping_11,wm_29,yellow_frisbee,unrelated,01-01_02_02_115,NaN,camping,outdoor,5,neu,right,stim/01-01_02_02_115_Slide-01.png,stim/01-01_02_02_115_Slide-02.png,stim/01-01_02_02_115_Slide-03.png,stim/01-01_02_02_115_Slide-04.png,stim/01-01_02_02_115_Slide-05.png
throw,parents,frisbee,beach_15,mm_25,red_frisbee,other_schema,01-01_02_02_103,NaN,beach,outdoor,8,inc,right,stim/01-01_02_02_103_Slide-01.png,stim/01-01_02_02_103_Slide-02.png,stim/01-01_02_02_103_Slide-03.png,stim/01-01_02_02_103_Slide-04.png,stim/01-01_02_02_103_Slide-08.png
throw,parents,frisbee,camping_13,mw_29,yellow_frisbee,unrelated,01-01_02_02_117,1,camping,outdoor,6,con,left,stim/01-01_02_02_117_Slide-01.png,stim/01-01_02_02_117_Slide-02.png,stim/01-01_02_02_117_Slide-03.png,stim/01-01_02_02_117_Slide-04.png,stim/01-01_02_02_117_Slide-06.png
